C,Story,Emotion,Val
0.0032563186418978966,Anxiety,Anxiety,0.4581022617217481
0.0032563186418978966,Anxiety,Despair,0.1006011813801011
0.0032563186418978966,Anxiety,Irritation,0.43494393592089303
0.0032563186418978966,Anxiety,Rage,0.006352620977257879
0.0032563186418978966,Despair,Anxiety,0.07575286358055573
0.0032563186418978966,Despair,Despair,0.7825827789042925
0.0032563186418978966,Despair,Irritation,0.014118196889623305
0.0032563186418978966,Despair,Rage,0.12754616062552804
0.0032563186418978966,Irritation,Anxiety,0.4378246390664952
0.0032563186418978966,Irritation,Despair,0.050745561169549445
0.0032563186418978966,Irritation,Irritation,0.4689693585778907
0.0032563186418978966,Irritation,Rage,0.042460441186064776
0.0032563186418978966,Rage,Anxiety,0.017565298009898388
0.0032563186418978966,Rage,Despair,0.36452884351911885
0.0032563186418978966,Rage,Irritation,0.004237064700345296
0.0032563186418978966,Rage,Rage,0.6136687937706373
0.0034799742521344746,Anxiety,Anxiety,0.4845957271007782
0.0034799742521344746,Anxiety,Despair,0.06158054040301696
0.0034799742521344746,Anxiety,Irritation,0.4455287711412085
0.0034799742521344746,Anxiety,Rage,0.008294961354996095
0.0034799742521344746,Despair,Anxiety,0.030659946911853243
0.0034799742521344746,Despair,Despair,0.8213109486646276
0.0034799742521344746,Despair,Irritation,0.013114438712304041
0.0034799742521344746,Despair,Rage,0.13491466571121524
0.0034799742521344746,Irritation,Anxiety,0.45127428083242216
0.0034799742521344746,Irritation,Despair,0.009900810063269214
0.0034799742521344746,Irritation,Irritation,0.4945972377523653
0.0034799742521344746,Irritation,Rage,0.04422767135194308
0.0034799742521344746,Rage,Anxiety,0.003185276461883865
0.0034799742521344746,Rage,Despair,0.18755430953328553
0.0034799742521344746,Rage,Irritation,0.003370391761863863
0.0034799742521344746,Rage,Rage,0.8058900222429667
0.003044289844613624,Anxiety,Anxiety,0.3235852057020117
0.003044289844613624,Anxiety,Despair,0.15426564437583984
0.003044289844613624,Anxiety,Irritation,0.495675084846103
0.003044289844613624,Anxiety,Rage,0.02647406507604564
0.003044289844613624,Despair,Anxiety,0.08124549998412181
0.003044289844613624,Despair,Despair,0.6146173735111418
0.003044289844613624,Despair,Irritation,0.025566540056304446
0.003044289844613624,Despair,Rage,0.2785705864484321
0.003044289844613624,Irritation,Anxiety,0.3072922328484937
0.003044289844613624,Irritation,Despair,0.07561747773486721
0.003044289844613624,Irritation,Irritation,0.5533045286906093
0.003044289844613624,Irritation,Rage,0.06378576072602969
0.003044289844613624,Rage,Anxiety,0.0026116823262404515
0.003044289844613624,Rage,Despair,0.09408378127716863
0.003044289844613624,Rage,Irritation,0.000654922523550533
0.003044289844613624,Rage,Rage,0.9026496138730404
0.0028995434813602443,Anxiety,Anxiety,0.37364314138001986
0.0028995434813602443,Anxiety,Despair,0.15094342566410618
0.0028995434813602443,Anxiety,Irritation,0.45598337097684666
0.0028995434813602443,Anxiety,Rage,0.0194300619790274
0.0028995434813602443,Despair,Anxiety,0.14644910092664404
0.0028995434813602443,Despair,Despair,0.5898959456471088
0.0028995434813602443,Despair,Irritation,0.03044871419343066
0.0028995434813602443,Despair,Rage,0.2332062392328164
0.0028995434813602443,Irritation,Anxiety,0.36861131059172497
0.0028995434813602443,Irritation,Despair,0.08417193925499161
0.0028995434813602443,Irritation,Irritation,0.49574621131402224
0.0028995434813602443,Irritation,Rage,0.051470538839261254
0.0028995434813602443,Rage,Anxiety,0.025880638709421443
0.0028995434813602443,Rage,Despair,0.30345130960781985
0.0028995434813602443,Rage,Irritation,0.004184362846849584
0.0028995434813602443,Rage,Rage,0.6664836888359092
0.003508216494500216,Anxiety,Anxiety,0.49872021331473715
0.003508216494500216,Anxiety,Despair,0.0681908550321866
0.003508216494500216,Anxiety,Irritation,0.4253034003676524
0.003508216494500216,Anxiety,Rage,0.007785531285424021
0.003508216494500216,Despair,Anxiety,0.01664732250049878
0.003508216494500216,Despair,Despair,0.8962623667869587
0.003508216494500216,Despair,Irritation,0.007357904765454235
0.003508216494500216,Despair,Rage,0.07973240594708825
0.003508216494500216,Irritation,Anxiety,0.46496912777390836
0.003508216494500216,Irritation,Despair,0.011359465801630253
0.003508216494500216,Irritation,Irritation,0.4817363610834566
0.003508216494500216,Irritation,Rage,0.04193504534100469
0.003508216494500216,Rage,Anxiety,0.003017947105948337
0.003508216494500216,Rage,Despair,0.31091315802564296
0.003508216494500216,Rage,Irritation,0.004111433887194362
0.003508216494500216,Rage,Rage,0.6819574609812148
0.0032907906724905017,Anxiety,Anxiety,0.446357405245685
0.0032907906724905017,Anxiety,Despair,0.12380088415114195
0.0032907906724905017,Anxiety,Irritation,0.4218983621264641
0.0032907906724905017,Anxiety,Rage,0.00794334847670878
0.0032907906724905017,Despair,Anxiety,0.08449580101904668
0.0032907906724905017,Despair,Despair,0.7709714159986701
0.0032907906724905017,Despair,Irritation,0.014791375781240653
0.0032907906724905017,Despair,Rage,0.12974140720104227
0.0032907906724905017,Irritation,Anxiety,0.43117825153590383
0.0032907906724905017,Irritation,Despair,0.055642771517023744
0.0032907906724905017,Irritation,Irritation,0.4697776074991409
0.0032907906724905017,Irritation,Rage,0.04340136944793135
0.0032907906724905017,Rage,Anxiety,0.020274171540839252
0.0032907906724905017,Rage,Despair,0.3614884216110703
0.0032907906724905017,Rage,Irritation,0.0038852757467982054
0.0032907906724905017,Rage,Rage,0.6143521311012923
0.0033603925945762904,Anxiety,Anxiety,0.49181661635906193
0.0033603925945762904,Anxiety,Despair,0.07356282897211082
0.0033603925945762904,Anxiety,Irritation,0.426299812760582
0.0033603925945762904,Anxiety,Rage,0.008320741908245098
0.0033603925945762904,Despair,Anxiety,0.02132351478813255
0.0033603925945762904,Despair,Despair,0.8718476634131336
0.0033603925945762904,Despair,Irritation,0.008439146110143198
0.0033603925945762904,Despair,Rage,0.0983896756885903
0.0033603925945762904,Irritation,Anxiety,0.45821688557859347
0.0033603925945762904,Irritation,Despair,0.015743798964174778
0.0033603925945762904,Irritation,Irritation,0.4851668975915037
0.0033603925945762904,Irritation,Rage,0.04087241786572792
0.0033603925945762904,Rage,Anxiety,0.00287244455236822
0.0033603925945762904,Rage,Despair,0.2395553759239665
0.0033603925945762904,Rage,Irritation,0.00247190742069564
0.0033603925945762904,Rage,Rage,0.7551002721029697
0.0037080849703268947,Anxiety,Anxiety,0.4858689278798883
0.0037080849703268947,Anxiety,Despair,0.06608311173810164
0.0037080849703268947,Anxiety,Irritation,0.4407806861989861
0.0037080849703268947,Anxiety,Rage,0.007267274183023919
0.0037080849703268947,Despair,Anxiety,0.015653262433289662
0.0037080849703268947,Despair,Despair,0.9009328074623878
0.0037080849703268947,Despair,Irritation,0.007396506226693963
0.0037080849703268947,Despair,Rage,0.07601742387762893
0.0037080849703268947,Irritation,Anxiety,0.4507217441801683
0.0037080849703268947,Irritation,Despair,0.012226082497368096
0.0037080849703268947,Irritation,Irritation,0.4912313493250463
0.0037080849703268947,Irritation,Rage,0.045820823997417284
0.0037080849703268947,Rage,Anxiety,0.0034545658170530794
0.0037080849703268947,Rage,Despair,0.12938849656805648
0.0037080849703268947,Rage,Irritation,0.003363922701501839
0.0037080849703268947,Rage,Rage,0.8637930149133889
0.0033888056555177173,Anxiety,Anxiety,0.49389444781725667
0.0033888056555177173,Anxiety,Despair,0.0697146383218686
0.0033888056555177173,Anxiety,Irritation,0.42908963634332975
0.0033888056555177173,Anxiety,Rage,0.007301277517545142
0.0033888056555177173,Despair,Anxiety,0.017395833217522593
0.0033888056555177173,Despair,Despair,0.8923377588344493
0.0033888056555177173,Despair,Irritation,0.008181849913463803
0.0033888056555177173,Despair,Rage,0.08208455803456458
0.0033888056555177173,Irritation,Anxiety,0.457208869275458
0.0033888056555177173,Irritation,Despair,0.015330558578849074
0.0033888056555177173,Irritation,Irritation,0.4863102509621766
0.0033888056555177173,Irritation,Rage,0.041150321183516095
0.0033888056555177173,Rage,Anxiety,0.0031205342933341715
0.0033888056555177173,Rage,Despair,0.2169528802765147
0.0033888056555177173,Rage,Irritation,0.0032350415900606055
0.0033888056555177173,Rage,Rage,0.7766915438400906
0.0033656800635467276,Anxiety,Anxiety,0.4823299457274058
0.0033656800635467276,Anxiety,Despair,0.06484084548033575
0.0033656800635467276,Anxiety,Irritation,0.44402967694044965
0.0033656800635467276,Anxiety,Rage,0.008799531851808658
0.0033656800635467276,Despair,Anxiety,0.03798374367117472
0.0033656800635467276,Despair,Despair,0.7875794112451787
0.0033656800635467276,Despair,Irritation,0.015411005941230058
